SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Availability,Storage Class,Volume Type,Fee Code,Fee Description,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,Durability
NGKDGFMDJUFN9HTU,JRTCKXETXF,NGKDGFMDJUFN9HTU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Mumbai) Amazon S3 accelerated data transfer from US West (Oregon),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,"Accelerated InterRegion Inbound using edge locations within US, Europe or Japan",Asia Pacific (Mumbai),AWS Region,US West (Oregon),AWS Region,APS3-USW2-AWS-In-ABytes-T1,,
EDBF9QZPMGFWKCF2,JRTCKXETXF,EDBF9QZPMGFWKCF2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - South America (Sao Paulo) Amazon S3 accelerated data transfer to US West (Oregon),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,"Accelerated InterRegion Outbound using edge locations outside US, Europe or Japan",South America (Sao Paulo),AWS Region,US West (Oregon),AWS Region,SAE1-USW2-AWS-Out-ABytes-T2,,
AYUFXW78ZFBHB4W2,JRTCKXETXF,AYUFXW78ZFBHB4W2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Seoul) Amazon S3 accelerated data transfer to US West (Oregon),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,"Accelerated InterRegion Outbound using edge locations within US, Europe or Japan",Asia Pacific (Seoul),AWS Region,US West (Oregon),AWS Region,APN2-USW2-AWS-Out-ABytes-T1,,
MS5U2UJYQ6DQYVCS,JRTCKXETXF,MS5U2UJYQ6DQYVCS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0125 per GB-Month prorated for small objects deleted or overwritten before 30 days in Standard-Infrequent Access,2016-09-01,0,Inf,GB-Mo,0.0125,USD,Fee,AmazonS3,US East (N. Virginia),AWS Region,,,,S3:EarlyDelete-SIA-SmallObjects,Pro-rated fee for small objects deleted before 30 days in Standard-Infrequent Access volume,,,,,,,,EarlyDelete-SIA-SmObjects,,
9DEJHBACUYEYMVN8,JRTCKXETXF,9DEJHBACUYEYMVN8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - US West (Oregon) data transfer from Asia Pacific (Singapore),2016-09-01,0,Inf,GB,0,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,InterRegion Inbound,US West (Oregon),AWS Region,Asia Pacific (Singapore),AWS Region,USW2-APS1-AWS-In-Bytes,,
E9YHNFENF4XQBZR6,JRTCKXETXF,E9YHNFENF4XQBZR6.JRTCKXETXF.6YS6EN2CT7,OnDemand,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",2016-09-01,0,Inf,Requests,0.000005,USD,API Request,AmazonS3,US East (N. Virginia),AWS Region,,,,,,S3-API-Tier1,PUT/COPY/POST or LIST requests,,,,,,Requests-Tier1,,
Z9BUZBPVEHSKFGSS,JRTCKXETXF,Z9BUZBPVEHSKFGSS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Singapore) Amazon S3 accelerated data transfer from Asia Pacific (Mumbai),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Inbound from close by location,Asia Pacific (Singapore),AWS Region,Asia Pacific (Mumbai),AWS Region,APS1-APS3-AWS-In-ABytes,,
84G6KSFBGCU9CEC9,JRTCKXETXF,84G6KSFBGCU9CEC9.JRTCKXETXF.6YS6EN2CT7,OnDemand,"$0.0035 per 10,000 GET and all other requests        ",2016-09-01,0,Inf,Requests,0.00000035,USD,API Request,AmazonS3,Asia Pacific (Seoul),AWS Region,,,,,,S3-API-Tier2,GET and all other requests,,,,,,APN2-Requests-Tier2,,
F7F2HR4SMGWVPDWV,JRTCKXETXF,F7F2HR4SMGWVPDWV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - EU (Ireland) data transfer from Asia Pacific (Singapore),2016-09-01,0,Inf,GB,0,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,InterRegion Inbound,EU (Ireland),AWS Region,Asia Pacific (Singapore),AWS Region,EU-APS1-AWS-In-Bytes,,
XH2W7PQVE2A9KDH2,JRTCKXETXF,XH2W7PQVE2A9KDH2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Tokyo) Amazon S3 accelerated data transfer from EU (Ireland),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Inbound from close by location,Asia Pacific (Tokyo),AWS Region,EU (Ireland),AWS Region,APN1-EU-AWS-In-ABytes,,
9FFMFTCN7C48MZPT,JRTCKXETXF,9FFMFTCN7C48MZPT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.036 per GB - Glacier Early Delete,2016-09-01,0,Inf,GB-Mo,0.012,USD,Fee,AmazonS3,EU (Frankfurt),AWS Region,,,,Glacier:EarlyDelete,Pro-rated fee for deleting items prior to 90 days,,,,,,,,EUC1-EarlyDelete-ByteHrs,,
9ESU2G5WSY6FMZR3,JRTCKXETXF,9ESU2G5WSY6FMZR3.JRTCKXETXF.Q3Z75P77EN,OnDemand,$0.140 per GB - first 10 TB / month data transfer out beyond the global free tier,2016-09-01,0,10240,GB,0.14,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,AWS Outbound,Asia Pacific (Tokyo),AWS Region,External,Other,APN1-DataTransfer-Out-Bytes,,
9ESU2G5WSY6FMZR3,JRTCKXETXF,9ESU2G5WSY6FMZR3.JRTCKXETXF.VF6T3GAUKQ,OnDemand,$0.135 per GB - next 40 TB / month data transfer out,2016-09-01,10240,51200,GB,0.135,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,AWS Outbound,Asia Pacific (Tokyo),AWS Region,External,Other,APN1-DataTransfer-Out-Bytes,,
9ESU2G5WSY6FMZR3,JRTCKXETXF,9ESU2G5WSY6FMZR3.JRTCKXETXF.N9EW5UVVPA,OnDemand,$0.130 per GB - next 100 TB / month data transfer out,2016-09-01,51200,153600,GB,0.13,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,AWS Outbound,Asia Pacific (Tokyo),AWS Region,External,Other,APN1-DataTransfer-Out-Bytes,,
9ESU2G5WSY6FMZR3,JRTCKXETXF,9ESU2G5WSY6FMZR3.JRTCKXETXF.GPHXDESFBB,OnDemand,$0.120 per GB - greater than 150 TB / month data transfer out,2016-09-01,153600,Inf,GB,0.12,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,AWS Outbound,Asia Pacific (Tokyo),AWS Region,External,Other,APN1-DataTransfer-Out-Bytes,,
XMKN5D6YPC35GK44,JRTCKXETXF,XMKN5D6YPC35GK44.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - South America (Sao Paulo) Amazon S3 accelerated data transfer to US East (Ohio),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Outbound from close by location,South America (Sao Paulo),AWS Region,US East (Ohio),AWS Region,SAE1-USE2-AWS-Out-ABytes,,
VC5RYZ28QCUQEZBP,JRTCKXETXF,VC5RYZ28QCUQEZBP.JRTCKXETXF.6YS6EN2CT7,OnDemand,"$0.080 per GB - Amazon S3 accelerated data transfer in (from outside US, Europe or Japan)",2016-09-01,0,Inf,GB,0.08,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,"Accelerated AWS Inbound using edge locations outside US, Europe or Japan",External,Other,South America (Sao Paulo),AWS Region,SAE1-DataTransfer-In-ABytes-T2,,
QA6WG3M29MJYBU4X,JRTCKXETXF,QA6WG3M29MJYBU4X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0125 per GB-Month prorated for objects deleted or overwritten before 30 days in Standard-Infrequent Access,2016-09-01,0,Inf,GB-Mo,0.0125,USD,Fee,AmazonS3,EU (Ireland),AWS Region,,,,S3:EarlyDelete-SIA,Pro-rated fee for objects deleted before 30 days in Standard-Infrequent Access volume,,,,,,,,EU-EarlyDelete-SIA,,
2WRVG9R25UCQDFU9,JRTCKXETXF,2WRVG9R25UCQDFU9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Singapore) Amazon S3 accelerated data transfer to US East (Ohio),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Outbound from close by location,Asia Pacific (Singapore),AWS Region,US East (Ohio),AWS Region,APS1-USE2-AWS-Out-ABytes,,
WQPUCFMJ6FZDMVVG,JRTCKXETXF,WQPUCFMJ6FZDMVVG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Tokyo) Amazon S3 accelerated data transfer from Asia Pacific (Sydney),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Inbound from close by location,Asia Pacific (Tokyo),AWS Region,Asia Pacific (Sydney),AWS Region,APN1-APS2-AWS-In-ABytes,,
2HBA5YAC4JN3RJQQ,JRTCKXETXF,2HBA5YAC4JN3RJQQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.000 per GB - Amazon S3 accelerated data transfer in,2016-09-01,0,Inf,GB,0,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated AWS Inbound (free),External,Other,Asia Pacific (Sydney),AWS Region,APS2-DataTransfer-In-ABytes,,
6784CVDTD6Y6HY5V,JRTCKXETXF,6784CVDTD6Y6HY5V.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Mumbai) Amazon S3 accelerated data transfer from Asia Pacific (Seoul),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,"Accelerated InterRegion Inbound using edge locations within US, Europe or Japan",Asia Pacific (Mumbai),AWS Region,Asia Pacific (Seoul),AWS Region,APS3-APN2-AWS-In-ABytes-T1,,
BWS8837XEJR9Q69S,JRTCKXETXF,BWS8837XEJR9Q69S.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.000 per GB - data transfer in per month,2016-09-01,0,Inf,GB,0,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,AWS Inbound,External,Other,EU (Frankfurt),AWS Region,EUC1-DataTransfer-In-Bytes,,
8S2ERBPDJE973SW6,JRTCKXETXF,8S2ERBPDJE973SW6.JRTCKXETXF.6YS6EN2CT7,OnDemand,"$0.01 per 1,000 transitions to Standard-Infrequent Access",2016-09-01,0,Inf,Requests,0.00001,USD,API Request,AmazonS3,AWS GovCloud (US),AWS Region,,,,,,S3-API-Tier4,Lifecycle Transition Requests into Standard-Infrequent Access,,,,,,UGW1-Requests-Tier4,,
