"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2015-12-09T23:40:29Z"
"Version","20150901000000"
"OfferCode","AmazonSES"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Description","Location","Location Type","Origin","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Content Type","Recipient"
"9UWEFACGGJJKPG9C","JRTCKXETXF","9UWEFACGGJJKPG9C.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.16 per GB - South America (Sao Paulo) data transfer to Asia Pacific (Sydney)","2015-09-01","0","Inf","GB","0.1600000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","South America (Sao Paulo)","AWS Region","Asia Pacific (Sydney)","AWS Region","SAE1-APS2-AWS-Out-Bytes","",,
"VTDJ9RVHJGJP999U","JRTCKXETXF","VTDJ9RVHJGJP999U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US West (Oregon) data transfer from EUC1 (FRA)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US West (Oregon)","AWS Region","EU (Frankfurt)","AWS Region","USW2-EUC1-AWS-In-Bytes","",,
"7HB6PUR4SRPNKUUK","JRTCKXETXF","7HB6PUR4SRPNKUUK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - South America (Sao Paulo) data transfer from US East (Northern Virginia)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","South America (Sao Paulo)","AWS Region","US East (N. Virginia)","AWS Region","SAE1-USE1-AWS-In-Bytes","",,
"725FHGTUB3P2B9EU","JRTCKXETXF","725FHGTUB3P2B9EU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Northern Virginia) data transfer from EU (Ireland)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US East (N. Virginia)","AWS Region","EU (Ireland)","AWS Region","USE1-EU-AWS-In-Bytes","",,
"RPEW2XNM63P3YPNC","JRTCKXETXF","RPEW2XNM63P3YPNC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - South America (Sao Paulo) data transfer from Asia Pacific (Singapore)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","South America (Sao Paulo)","AWS Region","Asia Pacific (Singapore)","AWS Region","SAE1-APS1-AWS-In-Bytes","",,
"XWJ63J8BZ6XCMMAG","JRTCKXETXF","XWJ63J8BZ6XCMMAG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer in to Asia Pacific (Sydney) from CloudFront","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","Asia Pacific (Sydney)","AWS Region","Amazon CloudFront","AWS Edge Location","APS2-CloudFront-In-Bytes","",,
"MUPCPE9697WZ2RAX","JRTCKXETXF","MUPCPE9697WZ2RAX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - AWS GovCloud (US) data transfer from Asia Pacific (Tokyo)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","AWS GovCloud (US)","AWS Region","Asia Pacific (Tokyo)","AWS Region","UGW1-APN1-AWS-In-Bytes","",,
"HSRFWQ3TJGWVZ2EK","JRTCKXETXF","HSRFWQ3TJGWVZ2EK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000 per GB - data transfer in per month","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Inbound","External","Other","US West (Oregon)","AWS Region","USW2-DataTransfer-In-Bytes","",,
"SZ3TRC8DUXU7MP9B","JRTCKXETXF","SZ3TRC8DUXU7MP9B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Sydney) data transfer from South America (Sao Paulo)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","Asia Pacific (Sydney)","AWS Region","South America (Sao Paulo)","AWS Region","APS2-SAE1-AWS-In-Bytes","",,
"AEAKFZK8PBPGQXQ8","JRTCKXETXF","AEAKFZK8PBPGQXQ8.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per mail chunk received in USW2","2015-09-01","0","Inf","ReceivedChunk","0.0000900000","USD",,"Receiving Email","AmazonSES","Charged for chunks of 256 KB, applicable to incoming mail","US West (Oregon)","AWS Region","Other",,,,,,,,"USW2-ReceivedChunk","Receive","Full Message","Amazon SES"
"H8BFTAAA4QRPW4P7","JRTCKXETXF","H8BFTAAA4QRPW4P7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer out of US West (Oregon) to CloudFront","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US West (Oregon)","AWS Region","Amazon CloudFront","AWS Edge Location","USW2-CloudFront-Out-Bytes","",,
